issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
07001,2007-05-30,22,24,29,31,35,4,11,17086781,89168335
07002,2007-06-02,15,22,31,34,35,5,12,16832903,84592975
07003,2007-06-04,3,4,18,23,32,1,6,15795691,78904528
07004,2007-06-06,6,10,16,17,25,2,4,17651663,80930948
07005,2007-06-09,1,9,19,20,30,2,11,21611411,84210190
07006,2007-06-11,1,16,20,23,28,3,6,18675368,80083542
07007,2007-06-13,14,16,25,26,35,4,9,19473159,82645026
07008,2007-06-16,2,8,11,21,23,4,7,23423679,85596585
07009,2007-06-18,1,3,9,19,34,9,12,20385607,89975065
07010,2007-06-20,6,8,18,29,34,9,11,20524711,94230078
07011,2007-06-23,29,32,33,34,35,9,10,23587919,99674870
07012,2007-06-25,3,12,15,29,34,7,11,19740389,98897389
07013,2007-06-27,12,17,27,29,34,6,9,19897386,102960707
07014,2007-06-30,1,2,7,29,32,6,7,28218110,105236279
07015,2007-07-02,2,8,12,13,17,11,12,22817212,100236279
07016,2007-07-04,1,14,19,24,31,3,12,23123073,101964762
07017,2007-07-07,13,14,29,32,34,3,12,25998850,96964762
07018,2007-07-09,3,4,16,23,28,6,9,21806412,99815184
07019,2007-07-11,3,6,17,22,23,4,6,22362521,103935374
07020,2007-07-14,2,6,11,12,18,5,12,27639555,98935374
07021,2007-07-16,2,4,24,29,33,1,2,22696842,103966251
07022,2007-07-18,8,10,12,23,25,3,10,23189618,105314853
07023,2007-07-21,8,10,23,32,34,8,10,27246875,97314853
07024,2007-07-23,6,16,20,25,31,4,9,23771974,100360583
07025,2007-07-25,22,24,26,27,34,2,10,25639317,102482191
07026,2007-07-28,5,9,13,33,35,1,8,28961885,103992777
07027,2007-07-30,2,3,10,19,27,6,10,25279174,105765511
07028,2007-08-01,20,26,30,34,35,3,10,25755284,107944923
07029,2007-08-04,15,22,25,29,35,9,11,29553865,109715764
07030,2007-08-06,11,14,27,33,35,2,7,26391058,111475790
07031,2007-08-08,3,21,27,31,32,6,8,27411586,113290150
07032,2007-08-11,1,13,21,23,32,4,11,30475342,105290150
07033,2007-08-13,1,5,8,14,22,3,12,27481967,100290150
07034,2007-08-15,6,8,11,13,22,2,11,27710963,102099756
07035,2007-08-18,7,11,16,31,32,1,12,31899546,104380164
07036,2007-08-20,15,18,21,27,34,1,2,27583299,106672144
07037,2007-08-22,1,6,7,17,31,11,12,28032472,109005650
07038,2007-08-25,6,21,25,27,32,8,9,30668940,111233173
07039,2007-08-27,10,11,20,21,35,7,11,27648363,63233173
07040,2007-08-29,5,21,25,28,35,1,4,28464999,61663883
07041,2007-09-01,3,16,17,22,35,1,8,34045332,45804596
07042,2007-09-03,7,10,22,31,35,5,6,30246408,51845697
07043,2007-09-05,4,9,22,24,31,2,6,31248714,43955760
07044,2007-09-08,4,5,7,12,26,1,10,35873627,42773163
07045,2007-09-10,9,16,20,26,35,11,12,31167326,49745733
07046,2007-09-12,4,16,18,23,30,1,10,31184324,56784691
07047,2007-09-15,1,6,15,19,35,2,9,35356622,61754883
07048,2007-09-17,8,25,26,29,35,6,8,31603672,66569000
07049,2007-09-19,9,10,15,17,32,4,6,31269987,72471427
07050,2007-09-22,13,21,22,30,35,1,11,35620417,79440004
07051,2007-09-24,3,7,24,28,35,8,11,30808879,84426353
07052,2007-09-26,1,14,29,32,33,5,10,31152461,89534085
07053,2007-09-29,11,16,19,21,25,1,10,36035758,97511192
07054,2007-10-01,4,10,19,29,34,3,6,28349315,94452068
07055,2007-10-03,10,16,24,31,33,7,10,27120226,100547455
07056,2007-10-06,4,11,17,20,21,5,9,33285061,92547455
07057,2007-10-08,14,16,30,32,35,6,7,29477379,98824607
07058,2007-10-10,8,21,25,28,33,2,6,31181480,104565766
07059,2007-10-13,4,15,23,31,33,3,9,39037604,107251394
07060,2007-10-15,12,13,29,30,31,4,7,34256481,89251394
07061,2007-10-17,2,10,19,28,29,2,9,33874726,95309737
